,year,milage,price
168,2013,"103,425 miles","$21,977"
169,2021,"62,670 miles","$25,488"
170,2020,"31,060 miles","$29,999"
171,2020,"21,605 miles","$33,797"
172,2012,"132,009 miles","$10,995"
173,2019,"47,209 miles","$54,273"
174,2020,"16,512 miles","$35,885"
175,2018,"83,566 miles","$25,995"
176,2013,"47,698 miles","$17,950"
177,2020,"39,693 miles","$38,997"
178,2014,"82,318 miles","$9,997"
179,2010,"127,706 miles","$12,999"
180,2021,"23,234 miles","$35,991"
181,2020,"52,009 miles","$29,995"
182,2014,"141,331 miles","$9,499"
183,2019,"84,283 miles","$34,995"
184,2014,"85,245 miles","$13,499"
185,2014,"86,918 miles","$18,500"
186,2020,"29,630 miles","$29,991"
187,2020,"43,721 miles","$40,973"
188,2007,"71,398 miles","$18,950"
189,2020,"37,956 miles","$39,980"
190,2020,"18,949 miles","$39,998"
191,2021,"21,923 miles","$31,513"
192,2021,"27,256 miles","$58,960"
193,2014,"68,768 miles","$10,990"
194,2020,"36,813 miles","$27,370"
195,2019,"81,332 miles","$18,395"
196,2021,"59,989 miles","$29,995"
197,2021,"23,879 miles","$31,901"
198,2020,"50,729 miles","$27,995"
199,2021,"12,873 miles","$34,991"
200,2021,"30,865 miles","$33,970"
201,2020,"19,763 miles","$33,995"
202,2020,"30,413 miles","$33,142"
203,2020,"99,583 miles","$31,306"
204,2014,"104,148 miles","$12,950"
205,2015,"36,803 miles","$57,500"
206,2021,"35,290 miles","$27,729"
207,2020,"35,125 miles","$29,911"
208,2021,"40,603 miles","$29,591"
209,2014,"155,344 miles","$8,995"
210,2012,"147,452 miles","$9,500"
211,2020,"24,182 miles","$32,995"
212,2013,"125,400 miles","$10,000"
213,2017,"59,971 miles","$21,791"
214,2020,"23,177 miles","$29,878"
215,2021,"56,069 miles","$25,999"
216,2011,"121,204 miles","$8,995"
217,2020,"37,220 miles","$41,969"
218,2022,"41,281 miles","$28,386"
219,2017,"21,816 miles","$17,995"
220,2019,"59,445 miles","$24,999"
221,2018,"41,037 miles","$26,595"
222,2009,"123,232 miles","$8,500"
223,2020,"28,220 miles","$30,790"
224,2021,"28,325 miles","$39,499"
225,2014,"76,346 miles","$14,498"
226,2019,"56,336 miles","$34,658"
227,2017,"103,113 miles","$16,992"
228,2011,"100,194 miles","$10,991"
229,2020,"44,974 miles","$39,995"
230,2020,"5,230 miles","$31,998"
231,2022,"38,164 miles","$34,879"
232,2016,"77,891 miles","$15,999"
233,2021,"59,983 miles","$27,139"
234,2013,"129,690 miles","$9,495"
235,2023,"12,459 miles","$48,987"
236,2011,"70,287 miles","$9,948"
237,2011,"115,334 miles","$9,495"
238,2020,"46,615 miles","$27,965"
239,2021,"22,406 miles","$30,997"
240,2019,"41,701 miles","$40,998"
241,2020,"28,817 miles","$33,672"
242,2013,"127,448 miles","$28,985"
243,2016,"56,305 miles","$43,980"
244,2022,"26,352 miles","$39,000"
245,2020,"33,920 miles","$47,998"
246,2016,"75,433 miles","$15,881"
247,2011,"126,191 miles","$9,995"
248,2020,"42,894 miles","$30,998"
249,2019,"90,254 miles","$19,995"
250,2019,"37,889 miles","$20,995"
251,2015,"99,547 miles","$13,900"
252,2016,"89,857 miles","$12,995"
253,2020,"37,924 miles","$26,995"
254,2021,"40,418 miles","$27,998"
255,2018,"32,973 miles","$28,022"
256,2005,"138,321 miles","$5,991"
